MapDate,StateAbbreviation,None,D0,D1,D2,D3,D4,ValidStart,ValidEnd,StatisticFormatID
20190604,AK,94.17,5.83,2.78,1.65,0.88,0.00,2019-06-04,2019-06-10,1
20190528,AK,94.17,5.83,2.78,1.65,0.88,0.00,2019-05-28,2019-06-03,1
20190521,AK,94.17,5.83,2.78,1.65,0.88,0.00,2019-05-21,2019-05-27,1
20190514,AK,94.17,5.83,2.21,0.93,0.00,0.00,2019-05-14,2019-05-20,1
20190507,AK,94.17,5.83,2.21,0.93,0.00,0.00,2019-05-07,2019-05-13,1
20190430,AK,94.17,5.83,3.74,1.69,0.00,0.00,2019-04-30,2019-05-06,1
20190423,AK,94.17,5.83,3.74,1.93,0.00,0.00,2019-04-23,2019-04-29,1
20190416,AK,94.17,5.83,3.74,1.93,0.00,0.00,2019-04-16,2019-04-22,1
20190409,AK,94.17,5.83,3.74,1.93,0.00,0.00,2019-04-09,2019-04-15,1
20190402,AK,94.17,5.83,3.74,1.93,0.00,0.00,2019-04-02,2019-04-08,1
20190326,AK,94.17,5.83,3.74,1.93,0.00,0.00,2019-03-26,2019-04-01,1
20190319,AK,94.17,5.83,3.74,1.93,0.00,0.00,2019-03-19,2019-03-25,1
20190312,AK,94.17,5.83,3.74,1.93,0.00,0.00,2019-03-12,2019-03-18,1
20190305,AK,94.17,5.83,3.74,1.93,0.00,0.00,2019-03-05,2019-03-11,1
20190226,AK,94.17,5.83,3.74,1.93,0.00,0.00,2019-02-26,2019-03-04,1
20190219,AK,94.17,5.83,2.35,1.02,0.00,0.00,2019-02-19,2019-02-25,1
20190212,AK,94.17,5.83,2.35,1.02,0.00,0.00,2019-02-12,2019-02-18,1
20190205,AK,94.17,5.83,2.35,1.02,0.00,0.00,2019-02-05,2019-02-11,1
20190129,AK,94.17,5.83,2.35,1.02,0.00,0.00,2019-01-29,2019-02-04,1
20190122,AK,94.17,5.83,2.35,1.02,0.00,0.00,2019-01-22,2019-01-28,1
20190115,AK,94.17,5.83,2.35,1.02,0.00,0.00,2019-01-15,2019-01-21,1
20190108,AK,94.17,5.83,2.35,1.02,0.00,0.00,2019-01-08,2019-01-14,1
20190101,AK,94.17,5.83,2.35,1.02,0.00,0.00,2019-01-01,2019-01-07,1
20181225,AK,94.17,5.83,2.35,2.07,0.00,0.00,2018-12-25,2018-12-31,1
20181218,AK,94.17,5.83,2.35,2.07,0.00,0.00,2018-12-18,2018-12-24,1
20181211,AK,94.17,5.83,2.35,2.07,0.00,0.00,2018-12-11,2018-12-17,1
20181204,AK,94.17,5.83,2.35,2.07,0.00,0.00,2018-12-04,2018-12-10,1
20181127,AK,94.17,5.83,2.35,2.07,0.00,0.00,2018-11-27,2018-12-03,1
20181120,AK,94.17,5.83,2.35,2.07,0.00,0.00,2018-11-20,2018-11-26,1
20181113,AK,94.17,5.83,2.35,2.07,0.00,0.00,2018-11-13,2018-11-19,1
20181106,AK,94.17,5.83,2.35,2.07,0.00,0.00,2018-11-06,2018-11-12,1
20181030,AK,94.17,5.83,2.35,2.07,0.00,0.00,2018-10-30,2018-11-05,1
20181023,AK,94.17,5.83,2.35,2.07,0.00,0.00,2018-10-23,2018-10-29,1
20181016,AK,94.17,5.83,2.35,2.07,0.00,0.00,2018-10-16,2018-10-22,1
20181009,AK,94.16,5.84,2.34,2.06,0.00,0.00,2018-10-09,2018-10-15,1
20181002,AK,94.16,5.84,2.34,2.06,0.00,0.00,2018-10-02,2018-10-08,1
20180925,AK,95.65,4.35,2.34,2.06,0.00,0.00,2018-09-25,2018-10-01,1
20180918,AK,95.65,4.35,2.34,0.00,0.00,0.00,2018-09-18,2018-09-24,1
20180911,AK,95.65,4.35,2.34,0.00,0.00,0.00,2018-09-11,2018-09-17,1
20180904,AK,95.65,4.35,2.34,0.00,0.00,0.00,2018-09-04,2018-09-10,1
20180828,AK,95.65,4.35,2.34,0.00,0.00,0.00,2018-08-28,2018-09-03,1
20180821,AK,95.65,4.35,2.34,0.00,0.00,0.00,2018-08-21,2018-08-27,1
20180814,AK,94.30,5.70,2.34,0.00,0.00,0.00,2018-08-14,2018-08-20,1
20180807,AK,94.30,5.70,2.34,0.00,0.00,0.00,2018-08-07,2018-08-13,1
20180731,AK,94.30,5.70,2.34,0.00,0.00,0.00,2018-07-31,2018-08-06,1
20180724,AK,93.75,6.25,2.34,0.00,0.00,0.00,2018-07-24,2018-07-30,1
20180717,AK,93.75,6.25,2.34,0.00,0.00,0.00,2018-07-17,2018-07-23,1
20180710,AK,93.75,6.25,0.00,0.00,0.00,0.00,2018-07-10,2018-07-16,1
20180703,AK,93.75,6.25,0.00,0.00,0.00,0.00,2018-07-03,2018-07-09,1
20180626,AK,93.75,6.25,0.00,0.00,0.00,0.00,2018-06-26,2018-07-02,1
20180619,AK,93.75,6.25,0.00,0.00,0.00,0.00,2018-06-19,2018-06-25,1
20180612,AK,98.03,1.97,0.00,0.00,0.00,0.00,2018-06-12,2018-06-18,1
20180605,AK,98.03,1.97,0.00,0.00,0.00,0.00,2018-06-05,2018-06-11,1
20180529,AK,98.03,1.97,0.00,0.00,0.00,0.00,2018-05-29,2018-06-04,1
20180522,AK,98.03,1.97,0.00,0.00,0.00,0.00,2018-05-22,2018-05-28,1
20180515,AK,89.31,10.69,0.00,0.00,0.00,0.00,2018-05-15,2018-05-21,1
20180508,AK,89.31,10.69,0.00,0.00,0.00,0.00,2018-05-08,2018-05-14,1
20180501,AK,89.31,10.69,0.00,0.00,0.00,0.00,2018-05-01,2018-05-07,1
20180424,AK,89.31,10.69,0.00,0.00,0.00,0.00,2018-04-24,2018-04-30,1
20180417,AK,89.31,10.69,2.68,0.00,0.00,0.00,2018-04-17,2018-04-23,1
20180410,AK,89.31,10.69,2.68,0.00,0.00,0.00,2018-04-10,2018-04-16,1
20180403,AK,89.31,10.69,2.68,0.00,0.00,0.00,2018-04-03,2018-04-09,1
20180327,AK,79.17,20.83,2.68,0.00,0.00,0.00,2018-03-27,2018-04-02,1
20180320,AK,79.17,20.83,2.68,0.00,0.00,0.00,2018-03-20,2018-03-26,1
20180313,AK,73.39,26.61,2.68,0.00,0.00,0.00,2018-03-13,2018-03-19,1
20180306,AK,73.39,26.61,2.68,0.00,0.00,0.00,2018-03-06,2018-03-12,1
20180227,AK,73.39,26.61,0.00,0.00,0.00,0.00,2018-02-27,2018-03-05,1
20180220,AK,73.39,26.61,0.00,0.00,0.00,0.00,2018-02-20,2018-02-26,1
20180213,AK,73.39,26.61,0.00,0.00,0.00,0.00,2018-02-13,2018-02-19,1
20180206,AK,73.39,26.61,0.00,0.00,0.00,0.00,2018-02-06,2018-02-12,1
20180130,AK,64.29,35.71,0.00,0.00,0.00,0.00,2018-01-30,2018-02-05,1
20180123,AK,100.00,0.00,0.00,0.00,0.00,0.00,2018-01-23,2018-01-29,1
20180116,AK,100.00,0.00,0.00,0.00,0.00,0.00,2018-01-16,2018-01-22,1
20180109,AK,100.00,0.00,0.00,0.00,0.00,0.00,2018-01-09,2018-01-15,1
20180102,AK,100.00,0.00,0.00,0.00,0.00,0.00,2018-01-02,2018-01-08,1
20171226,AK,100.00,0.00,0.00,0.00,0.00,0.00,2017-12-26,2018-01-01,1
20171219,AK,100.00,0.00,0.00,0.00,0.00,0.00,2017-12-19,2017-12-25,1
20171212,AK,100.00,0.00,0.00,0.00,0.00,0.00,2017-12-12,2017-12-18,1
20171205,AK,100.00,0.00,0.00,0.00,0.00,0.00,2017-12-05,2017-12-11,1
20171128,AK,100.00,0.00,0.00,0.00,0.00,0.00,2017-11-28,2017-12-04,1
20171121,AK,100.00,0.00,0.00,0.00,0.00,0.00,2017-11-21,2017-11-27,1
20171114,AK,100.00,0.00,0.00,0.00,0.00,0.00,2017-11-14,2017-11-20,1
20171107,AK,100.00,0.00,0.00,0.00,0.00,0.00,2017-11-07,2017-11-13,1
20171031,AK,100.00,0.00,0.00,0.00,0.00,0.00,2017-10-31,2017-11-06,1
20171024,AK,100.00,0.00,0.00,0.00,0.00,0.00,2017-10-24,2017-10-30,1
20171017,AK,100.00,0.00,0.00,0.00,0.00,0.00,2017-10-17,2017-10-23,1
20171010,AK,100.00,0.00,0.00,0.00,0.00,0.00,2017-10-10,2017-10-16,1
20171003,AK,100.00,0.00,0.00,0.00,0.00,0.00,2017-10-03,2017-10-09,1
20170926,AK,100.00,0.00,0.00,0.00,0.00,0.00,2017-09-26,2017-10-02,1
20170919,AK,100.00,0.00,0.00,0.00,0.00,0.00,2017-09-19,2017-09-25,1
20170912,AK,99.65,0.35,0.00,0.00,0.00,0.00,2017-09-12,2017-09-18,1
20170905,AK,91.87,8.13,0.00,0.00,0.00,0.00,2017-09-05,2017-09-11,1
20170829,AK,89.40,10.60,0.00,0.00,0.00,0.00,2017-08-29,2017-09-04,1
20170822,AK,89.40,10.60,0.00,0.00,0.00,0.00,2017-08-22,2017-08-28,1
20170815,AK,89.40,10.60,0.00,0.00,0.00,0.00,2017-08-15,2017-08-21,1
20170808,AK,67.66,32.34,0.69,0.00,0.00,0.00,2017-08-08,2017-08-14,1
20170801,AK,60.86,39.14,6.67,0.00,0.00,0.00,2017-08-01,2017-08-07,1
20170725,AK,61.28,38.72,6.67,0.00,0.00,0.00,2017-07-25,2017-07-31,1
20170718,AK,59.85,40.15,6.67,0.00,0.00,0.00,2017-07-18,2017-07-24,1
20170711,AK,68.99,31.01,5.98,0.00,0.00,0.00,2017-07-11,2017-07-17,1
20170704,AK,68.99,31.01,5.98,0.00,0.00,0.00,2017-07-04,2017-07-10,1
20170627,AK,68.99,31.01,5.98,0.00,0.00,0.00,2017-06-27,2017-07-03,1
20170620,AK,62.58,37.42,8.08,0.00,0.00,0.00,2017-06-20,2017-06-26,1
20170613,AK,66.26,33.74,5.81,0.00,0.00,0.00,2017-06-13,2017-06-19,1
20170606,AK,66.26,33.74,5.81,0.00,0.00,0.00,2017-06-06,2017-06-12,1
20170530,AK,66.99,33.01,0.00,0.00,0.00,0.00,2017-05-30,2017-06-05,1
20170523,AK,66.99,33.01,0.00,0.00,0.00,0.00,2017-05-23,2017-05-29,1
20170516,AK,66.99,33.01,0.00,0.00,0.00,0.00,2017-05-16,2017-05-22,1
20170509,AK,66.99,33.01,0.00,0.00,0.00,0.00,2017-05-09,2017-05-15,1
20170502,AK,66.99,33.01,0.00,0.00,0.00,0.00,2017-05-02,2017-05-08,1
20170425,AK,66.99,33.01,0.00,0.00,0.00,0.00,2017-04-25,2017-05-01,1
20170418,AK,66.99,33.01,0.00,0.00,0.00,0.00,2017-04-18,2017-04-24,1
20170411,AK,68.85,31.15,0.00,0.00,0.00,0.00,2017-04-11,2017-04-17,1
20170404,AK,68.85,31.15,0.00,0.00,0.00,0.00,2017-04-04,2017-04-10,1
20170328,AK,68.85,31.15,0.00,0.00,0.00,0.00,2017-03-28,2017-04-03,1
20170321,AK,68.85,31.15,0.00,0.00,0.00,0.00,2017-03-21,2017-03-27,1
20170314,AK,68.85,31.15,0.00,0.00,0.00,0.00,2017-03-14,2017-03-20,1
20170307,AK,68.85,31.15,0.00,0.00,0.00,0.00,2017-03-07,2017-03-13,1
20170228,AK,64.69,35.31,0.00,0.00,0.00,0.00,2017-02-28,2017-03-06,1
20170221,AK,68.01,31.99,0.00,0.00,0.00,0.00,2017-02-21,2017-02-27,1
20170214,AK,91.09,8.91,0.00,0.00,0.00,0.00,2017-02-14,2017-02-20,1
20170207,AK,91.09,8.91,0.00,0.00,0.00,0.00,2017-02-07,2017-02-13,1
20170131,AK,91.09,8.91,0.00,0.00,0.00,0.00,2017-01-31,2017-02-06,1
20170124,AK,91.09,8.91,0.00,0.00,0.00,0.00,2017-01-24,2017-01-30,1
20170117,AK,89.14,10.86,0.00,0.00,0.00,0.00,2017-01-17,2017-01-23,1
20170110,AK,89.14,10.86,0.00,0.00,0.00,0.00,2017-01-10,2017-01-16,1
20170103,AK,89.14,10.86,0.00,0.00,0.00,0.00,2017-01-03,2017-01-09,1
20161227,AK,91.09,8.91,0.00,0.00,0.00,0.00,2016-12-27,2017-01-02,1
20161220,AK,91.09,8.91,0.00,0.00,0.00,0.00,2016-12-20,2016-12-26,1
20161213,AK,91.09,8.91,0.00,0.00,0.00,0.00,2016-12-13,2016-12-19,1
20161206,AK,91.09,8.91,0.00,0.00,0.00,0.00,2016-12-06,2016-12-12,1
20161129,AK,91.09,8.91,0.00,0.00,0.00,0.00,2016-11-29,2016-12-05,1
20161122,AK,91.09,8.91,0.00,0.00,0.00,0.00,2016-11-22,2016-11-28,1
20161115,AK,91.09,8.91,0.00,0.00,0.00,0.00,2016-11-15,2016-11-21,1
20161108,AK,91.09,8.91,0.00,0.00,0.00,0.00,2016-11-08,2016-11-14,1
20161101,AK,89.77,10.23,0.00,0.00,0.00,0.00,2016-11-01,2016-11-07,1
20161025,AK,89.77,10.23,0.00,0.00,0.00,0.00,2016-10-25,2016-10-31,1
20161018,AK,89.77,10.23,0.00,0.00,0.00,0.00,2016-10-18,2016-10-24,1
20161011,AK,100.00,0.00,0.00,0.00,0.00,0.00,2016-10-11,2016-10-17,1
20161004,AK,100.00,0.00,0.00,0.00,0.00,0.00,2016-10-04,2016-10-10,1
20160927,AK,100.00,0.00,0.00,0.00,0.00,0.00,2016-09-27,2016-10-03,1
20160920,AK,100.00,0.00,0.00,0.00,0.00,0.00,2016-09-20,2016-09-26,1
20160913,AK,100.00,0.00,0.00,0.00,0.00,0.00,2016-09-13,2016-09-19,1
20160906,AK,100.00,0.00,0.00,0.00,0.00,0.00,2016-09-06,2016-09-12,1
20160830,AK,100.00,0.00,0.00,0.00,0.00,0.00,2016-08-30,2016-09-05,1
20160823,AK,100.00,0.00,0.00,0.00,0.00,0.00,2016-08-23,2016-08-29,1
20160816,AK,81.67,18.33,0.00,0.00,0.00,0.00,2016-08-16,2016-08-22,1
20160809,AK,81.67,18.33,0.00,0.00,0.00,0.00,2016-08-09,2016-08-15,1
20160802,AK,78.51,21.49,0.00,0.00,0.00,0.00,2016-08-02,2016-08-08,1
20160726,AK,78.51,21.49,0.00,0.00,0.00,0.00,2016-07-26,2016-08-01,1
20160719,AK,71.54,28.46,0.00,0.00,0.00,0.00,2016-07-19,2016-07-25,1
20160712,AK,77.67,22.33,0.00,0.00,0.00,0.00,2016-07-12,2016-07-18,1
20160705,AK,77.67,22.33,0.00,0.00,0.00,0.00,2016-07-05,2016-07-11,1
20160628,AK,72.88,27.12,0.00,0.00,0.00,0.00,2016-06-28,2016-07-04,1
20160621,AK,72.88,27.12,0.00,0.00,0.00,0.00,2016-06-21,2016-06-27,1
20160614,AK,83.58,16.42,0.00,0.00,0.00,0.00,2016-06-14,2016-06-20,1
20160607,AK,83.58,16.42,0.00,0.00,0.00,0.00,2016-06-07,2016-06-13,1
20160531,AK,83.58,16.42,0.00,0.00,0.00,0.00,2016-05-31,2016-06-06,1
20160524,AK,83.58,16.42,0.00,0.00,0.00,0.00,2016-05-24,2016-05-30,1
20160517,AK,77.38,22.62,0.00,0.00,0.00,0.00,2016-05-17,2016-05-23,1
20160510,AK,77.38,22.62,0.00,0.00,0.00,0.00,2016-05-10,2016-05-16,1
20160503,AK,77.38,22.62,0.00,0.00,0.00,0.00,2016-05-03,2016-05-09,1
20160426,AK,77.38,22.62,0.00,0.00,0.00,0.00,2016-04-26,2016-05-02,1
20160419,AK,77.38,22.62,0.00,0.00,0.00,0.00,2016-04-19,2016-04-25,1
20160412,AK,77.38,22.62,0.00,0.00,0.00,0.00,2016-04-12,2016-04-18,1
20160405,AK,83.99,16.01,0.00,0.00,0.00,0.00,2016-04-05,2016-04-11,1
20160329,AK,83.99,16.01,0.00,0.00,0.00,0.00,2016-03-29,2016-04-04,1
20160322,AK,83.99,16.01,0.00,0.00,0.00,0.00,2016-03-22,2016-03-28,1
20160315,AK,83.99,16.01,0.00,0.00,0.00,0.00,2016-03-15,2016-03-21,1
20160308,AK,89.79,10.21,0.00,0.00,0.00,0.00,2016-03-08,2016-03-14,1
20160301,AK,89.79,10.21,0.00,0.00,0.00,0.00,2016-03-01,2016-03-07,1
20160223,AK,89.79,10.21,0.00,0.00,0.00,0.00,2016-02-23,2016-02-29,1
20160216,AK,89.79,10.21,0.00,0.00,0.00,0.00,2016-02-16,2016-02-22,1
20160209,AK,89.79,10.21,0.00,0.00,0.00,0.00,2016-02-09,2016-02-15,1
20160202,AK,89.79,10.21,0.00,0.00,0.00,0.00,2016-02-02,2016-02-08,1
20160126,AK,89.79,10.21,0.00,0.00,0.00,0.00,2016-01-26,2016-02-01,1
20160119,AK,89.79,10.21,0.00,0.00,0.00,0.00,2016-01-19,2016-01-25,1
20160112,AK,89.79,10.21,0.00,0.00,0.00,0.00,2016-01-12,2016-01-18,1
20160105,AK,89.79,10.21,0.00,0.00,0.00,0.00,2016-01-05,2016-01-11,1
20151229,AK,89.79,10.21,0.00,0.00,0.00,0.00,2015-12-29,2016-01-04,1
20151222,AK,89.79,10.21,0.00,0.00,0.00,0.00,2015-12-22,2015-12-28,1
20151215,AK,89.79,10.21,0.00,0.00,0.00,0.00,2015-12-15,2015-12-21,1
20151208,AK,89.79,10.21,0.00,0.00,0.00,0.00,2015-12-08,2015-12-14,1
20151201,AK,89.79,10.21,0.00,0.00,0.00,0.00,2015-12-01,2015-12-07,1
20151124,AK,77.16,22.84,0.00,0.00,0.00,0.00,2015-11-24,2015-11-30,1
20151117,AK,77.16,22.84,0.00,0.00,0.00,0.00,2015-11-17,2015-11-23,1
20151110,AK,77.16,22.84,0.00,0.00,0.00,0.00,2015-11-10,2015-11-16,1
20151103,AK,77.16,22.84,0.00,0.00,0.00,0.00,2015-11-03,2015-11-09,1
20151027,AK,77.16,22.84,0.00,0.00,0.00,0.00,2015-10-27,2015-11-02,1
20151020,AK,77.16,22.84,0.00,0.00,0.00,0.00,2015-10-20,2015-10-26,1
20151013,AK,75.11,24.89,0.00,0.00,0.00,0.00,2015-10-13,2015-10-19,1
20151006,AK,73.84,26.16,0.00,0.00,0.00,0.00,2015-10-06,2015-10-12,1
20150929,AK,57.45,42.55,3.58,0.00,0.00,0.00,2015-09-29,2015-10-05,1
20150922,AK,57.45,42.55,3.58,0.00,0.00,0.00,2015-09-22,2015-09-28,1
20150915,AK,42.51,57.49,9.90,0.00,0.00,0.00,2015-09-15,2015-09-21,1
20150908,AK,39.61,60.39,9.90,0.00,0.00,0.00,2015-09-08,2015-09-14,1
20150901,AK,29.14,70.86,17.75,0.00,0.00,0.00,2015-09-01,2015-09-07,1
20150825,AK,28.93,71.07,20.05,0.00,0.00,0.00,2015-08-25,2015-08-31,1
20150818,AK,28.93,71.07,20.05,0.00,0.00,0.00,2015-08-18,2015-08-24,1
20150811,AK,28.93,71.07,20.05,0.00,0.00,0.00,2015-08-11,2015-08-17,1
20150804,AK,28.93,71.07,20.05,0.00,0.00,0.00,2015-08-04,2015-08-10,1
20150728,AK,28.93,71.07,20.05,0.00,0.00,0.00,2015-07-28,2015-08-03,1
20150721,AK,43.51,56.49,18.87,0.00,0.00,0.00,2015-07-21,2015-07-27,1
20150714,AK,39.47,60.53,20.61,0.00,0.00,0.00,2015-07-14,2015-07-20,1
20150707,AK,39.47,60.53,17.52,0.00,0.00,0.00,2015-07-07,2015-07-13,1
20150630,AK,42.25,57.75,9.59,0.00,0.00,0.00,2015-06-30,2015-07-06,1
20150623,AK,42.25,57.75,5.53,0.00,0.00,0.00,2015-06-23,2015-06-29,1
20150616,AK,52.84,47.16,0.00,0.00,0.00,0.00,2015-06-16,2015-06-22,1
20150609,AK,66.06,33.94,0.00,0.00,0.00,0.00,2015-06-09,2015-06-15,1
20150602,AK,66.06,33.94,0.00,0.00,0.00,0.00,2015-06-02,2015-06-08,1
20150526,AK,76.08,23.92,0.00,0.00,0.00,0.00,2015-05-26,2015-06-01,1
20150519,AK,76.08,23.92,0.00,0.00,0.00,0.00,2015-05-19,2015-05-25,1
20150512,AK,76.08,23.92,0.00,0.00,0.00,0.00,2015-05-12,2015-05-18,1
20150505,AK,76.08,23.92,0.00,0.00,0.00,0.00,2015-05-05,2015-05-11,1
20150428,AK,76.08,23.92,0.00,0.00,0.00,0.00,2015-04-28,2015-05-04,1
20150421,AK,76.08,23.92,0.00,0.00,0.00,0.00,2015-04-21,2015-04-27,1
20150414,AK,76.08,23.92,0.00,0.00,0.00,0.00,2015-04-14,2015-04-20,1
20150407,AK,69.91,30.09,0.00,0.00,0.00,0.00,2015-04-07,2015-04-13,1
20150331,AK,69.91,30.09,0.00,0.00,0.00,0.00,2015-03-31,2015-04-06,1
20150324,AK,69.91,30.09,0.00,0.00,0.00,0.00,2015-03-24,2015-03-30,1
20150317,AK,69.91,30.09,0.00,0.00,0.00,0.00,2015-03-17,2015-03-23,1
20150310,AK,69.91,30.09,0.00,0.00,0.00,0.00,2015-03-10,2015-03-16,1
20150303,AK,66.76,33.24,0.00,0.00,0.00,0.00,2015-03-03,2015-03-09,1
20150224,AK,72.23,27.77,0.00,0.00,0.00,0.00,2015-02-24,2015-03-02,1
20150217,AK,72.23,27.77,0.00,0.00,0.00,0.00,2015-02-17,2015-02-23,1
20150210,AK,100.00,0.00,0.00,0.00,0.00,0.00,2015-02-10,2015-02-16,1
20150203,AK,100.00,0.00,0.00,0.00,0.00,0.00,2015-02-03,2015-02-09,1
20150127,AK,100.00,0.00,0.00,0.00,0.00,0.00,2015-01-27,2015-02-02,1
20150120,AK,100.00,0.00,0.00,0.00,0.00,0.00,2015-01-20,2015-01-26,1
20150113,AK,100.00,0.00,0.00,0.00,0.00,0.00,2015-01-13,2015-01-19,1
20150106,AK,100.00,0.00,0.00,0.00,0.00,0.00,2015-01-06,2015-01-12,1
20141230,AK,100.00,0.00,0.00,0.00,0.00,0.00,2014-12-30,2015-01-05,1
20191231,AL,100.00,0.00,0.00,0.00,0.00,0.00,2019-12-31,2020-01-06,1
20191224,AL,100.00,0.00,0.00,0.00,0.00,0.00,2019-12-24,2019-12-30,1
20191217,AL,78.02,21.98,0.84,0.00,0.00,0.00,2019-12-17,2019-12-23,1
20191210,AL,67.58,32.42,4.56,0.00,0.00,0.00,2019-12-10,2019-12-16,1
20191203,AL,70.39,29.61,2.43,0.00,0.00,0.00,2019-12-03,2019-12-09,1
20191126,AL,79.12,20.88,2.02,0.00,0.00,0.00,2019-11-26,2019-12-02,1
20191119,AL,76.35,23.65,2.46,0.00,0.00,0.00,2019-11-19,2019-11-25,1
20191112,AL,70.26,29.74,8.38,0.81,0.00,0.00,2019-11-12,2019-11-18,1
20191105,AL,56.34,43.66,27.57,7.08,0.00,0.00,2019-11-05,2019-11-11,1
20191029,AL,38.30,61.70,39.63,16.51,1.43,0.00,2019-10-29,2019-11-04,1
20191022,AL,25.68,74.32,52.27,20.96,5.27,0.00,2019-10-22,2019-10-28,1
20191015,AL,9.44,90.56,57.51,34.96,7.79,0.00,2019-10-15,2019-10-21,1
20191008,AL,8.50,91.50,54.08,14.45,5.39,0.00,2019-10-08,2019-10-14,1
20191001,AL,0.00,100.00,35.36,11.99,3.54,0.00,2019-10-01,2019-10-07,1
20190924,AL,17.27,82.73,30.18,4.88,0.20,0.00,2019-09-24,2019-09-30,1
20190917,AL,52.39,47.61,13.86,1.09,0.00,0.00,2019-09-17,2019-09-23,1
20190910,AL,69.52,30.48,8.21,1.09,0.00,0.00,2019-09-10,2019-09-16,1
20190903,AL,72.60,27.40,5.33,1.09,0.00,0.00,2019-09-03,2019-09-09,1
20190827,AL,66.04,33.96,10.78,1.53,0.00,0.00,2019-08-27,2019-09-02,1
20190820,AL,52.47,47.53,12.56,1.90,0.00,0.00,2019-08-20,2019-08-26,1
20190813,AL,61.46,38.54,12.79,2.63,0.00,0.00,2019-08-13,2019-08-19,1
20190806,AL,66.15,33.85,11.75,2.45,0.00,0.00,2019-08-06,2019-08-12,1
20190730,AL,61.32,38.68,13.41,4.27,0.00,0.00,2019-07-30,2019-08-05,1
20190723,AL,68.21,31.79,11.01,4.27,0.00,0.00,2019-07-23,2019-07-29,1
20190716,AL,60.50,39.50,10.57,3.68,0.00,0.00,2019-07-16,2019-07-22,1
20190709,AL,54.56,45.44,10.37,2.88,0.00,0.00,2019-07-09,2019-07-15,1
20190702,AL,59.66,40.34,7.97,2.12,0.00,0.00,2019-07-02,2019-07-08,1
20190625,AL,56.55,43.45,7.93,2.59,0.00,0.00,2019-06-25,2019-07-01,1
20190618,AL,63.96,36.04,11.33,1.81,0.00,0.00,2019-06-18,2019-06-24,1
20190611,AL,65.63,34.37,11.33,0.00,0.00,0.00,2019-06-11,2019-06-17,1
20190604,AL,55.23,44.77,14.12,0.00,0.00,0.00,2019-06-04,2019-06-10,1
20190528,AL,56.16,43.84,7.36,0.00,0.00,0.00,2019-05-28,2019-06-03,1
20190521,AL,76.68,23.32,0.00,0.00,0.00,0.00,2019-05-21,2019-05-27,1
